"idhous" "sex" "birthyr" "nat_1_02" "plingu02" "p02r01" "p02r04" "cspfaj" "cspmoj" "wp00tbgp" "wp00tbgs" "idpers"
"1919" 108711 "woman" 1947 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" NA NA 815.805541992188 0.724014520645142 "1919"
"423" 24881 "woman" 1948 "Switzerland" "german" "Roman Catholic" "never" "qualified manual professions" NA 771.340026855469 0.684552073478699 "423"
"352" 20941 "woman" 1942 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "academic professions and senior management" NA 1118.53588867188 0.992682874202728 "352"
"36" 5281 "man" 1955 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "qualified non-manual professions" "qualified non-manual professions" 621.328491210938 0.551419198513031 "36"
"1211" 68981 "woman" 1956 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" "qualified non-manual professions" 0 0 "1211"
"1427" 82091 "woman" 1949 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" NA 837.48583984375 0.743255436420441 "1427"
"7" 3101 "woman" 1926 "Switzerland" NA NA NA NA NA 1876.79174804688 1.66562294960022 "7"
"1939" 109511 "woman" 1954 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "qualified non-manual professions" NA 590.763610839844 0.52429336309433 "1939"
"794" 45271 "man" 1933 "Switzerland" "italian" "Roman Catholic" "only for family ceremonies" "top management" "other self-employed" 860.582885742188 0.763753712177277 "794"
"2458" 141561 "man" 1956 "Switzerland" "german" "Roman Catholic" "about once a month" NA NA 1085.86999511719 0.963692486286163 "2458"
"1006" 57441 "man" 1946 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" "other self-employed" NA 696.092834472656 0.61777138710022 "1006"
"2042" 115701 "woman" 1942 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "intermediate professions" "qualified non-manual professions" 1004.25775146484 0.891262888908386 "2042"
"2170" 123231 "woman" 1952 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" "qualified manual professions" 809.122863769531 0.718083739280701 "2170"
"1811" 103181 "woman" 1947 "Switzerland" NA NA NA "intermediate professions" NA 723.397094726562 0.64200347661972 "1811"
"956" 54201 "woman" 1946 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 931.988403320312 0.827125012874603 "956"
"1315" 74801 "man" 1942 "Switzerland" NA NA NA NA NA 2503.21997070312 2.22156810760498 "1315"
"965" 55011 "man" 1929 "Switzerland" NA NA NA NA NA 2218.64013671875 1.96900796890259 "965"
"1460" 82961 "woman" 1954 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "academic professions and senior management" NA 777.601623535156 0.690109133720398 "1460"
"2072" 117271 "woman" 1948 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "qualified manual professions" NA 673.600708007812 0.597809970378876 "2072"
"1406" 80331 "woman" 1955 "Switzerland" "german" NA NA "intermediate professions" NA 705.609680175781 0.626217424869537 "1406"
"2454" NA "woman" 1925 NA NA NA NA "unqualified non-manual and manual workers" NA 2063.39575195312 1.83123111724854 "2454"
"919" 52421 "woman" 1924 "Switzerland" "french" "Roman Catholic" "once a week" NA NA 1814.0390625 1.60993099212646 "919"
"849" 48001 "man" 1933 "Itally" "french" "Roman Catholic" "never" "other self-employed" NA 2806.3134765625 2.49055862426758 "849"
"2481" 142711 "man" 1950 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" NA NA 779.336547851562 0.691648840904236 "2481"
"44" 5381 "woman" 1937 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "other self-employed" NA 1814.0390625 1.60993099212646 "44"
"2446" 140861 "man" 1925 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified non-manual professions" NA 1234.57141113281 1.09566259384155 "2446"
"486" 27681 "man" 1920 "Switzerland" "german" "Protestant or Reformed Church" "never" "unqualified non-manual and manual workers" NA 1333.69384765625 1.18363213539124 "486"
"20" 3621 "woman" 1942 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "other self-employed" "other self-employed" 1179.50122070312 1.04678869247437 "20"
"1791" 102341 "woman" 1931 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" "other self-employed" 1045.84558105469 0.928171455860138 "1791"
"2323" NA "man" 1952 NA NA NA NA "academic professions and senior management" NA 1715.50769042969 1.52248597145081 "2323"
"602" 33631 "man" 1949 "Switzerland" "german" NA NA "unqualified non-manual and manual workers" NA 764.917907714844 0.678852558135986 "602"
"2149" 122351 "woman" 1953 "Switzerland" "french" "Roman Catholic" "about once a month" "academic professions and senior management" NA 887.888916015625 0.787987411022186 "2149"
"2284" 130101 "man" 1937 "Germany" "german" "Protestant or Reformed Church" "about once a month" "academic professions and senior management" NA 1493.19921875 1.325190782547 "2284"
"1880" 106541 "man" 1952 "Switzerland" "german" "Roman Catholic" "a few times a year" "qualified manual professions" NA 643.208068847656 0.570836961269379 "1880"
"2464" 141891 "woman" 1937 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" NA NA 1320.90930175781 1.17228615283966 "2464"
"1031" 58601 "woman" 1943 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" NA "liberal professions" 916.847229003906 0.813687384128571 "1031"
"1410" 80561 "woman" 1929 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "other self-employed" "other self-employed" 1108.04919433594 0.983376085758209 "1410"
"1473" 84211 "man" 1945 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "intermediate professions" NA 1561.29040527344 1.38562059402466 "1473"
"391" 23611 "woman" 1955 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 711.701232910156 0.631623566150665 "391"
"1471" 84111 "woman" 1923 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" "other self-employed" 2122.10546875 1.88333511352539 "1471"
"1312" 74641 "man" 1953 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" "other self-employed" 677.378723144531 0.601162910461426 "1312"
"1976" 111131 "woman" 1940 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified non-manual professions" NA 1031.64733886719 0.915570676326752 "1976"
"237" 15211 "woman" 1957 "Switzerland" "german" "Roman Catholic" "about once a month" NA NA 557.91650390625 0.495142072439194 "237"
"2475" 142321 "woman" 1928 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" NA 2063.39575195312 1.83123111724854 "2475"
"446" 25771 "woman" 1952 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" NA 601.891418457031 0.534169137477875 "446"
"1903" NA "woman" 1948 NA NA NA NA "intermediate professions" NA 677.009582519531 0.60083532333374 "1903"
"843" 47521 "woman" 1957 "Switzerland" NA NA NA NA NA 1174.80676269531 1.04262244701385 "843"
"1672" 96161 "woman" 1937 "Switzerland" "italian" "Roman Catholic" "religious celebrations and family events" NA NA 1567.50524902344 1.3911360502243 "1672"
"1130" 63761 "man" 1938 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "other self-employed" NA 1277.79931640625 1.13402676582336 "1130"
"1790" NA "man" 1940 NA NA NA NA "other self-employed" NA 939.22802734375 0.833550035953522 "1790"
"1090" 61211 "woman" 1931 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 1228.51867675781 1.0902909040451 "1090"
"1630" 93401 "woman" 1954 "Switzerland" "german" "Roman Catholic" "every two weeks" "other self-employed" NA 1357.35986328125 1.20463538169861 "1630"
"432" 25241 "woman" 1953 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "other self-employed" "other self-employed" 692.141845703125 0.614264905452728 "432"
"781" 44701 "man" 1928 "Switzerland" "italian" "Roman Catholic" "every two weeks" "qualified manual professions" NA 1562.142578125 1.38637685775757 "781"
"1184" 67621 "man" 1956 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "academic professions and senior management" NA 574.704040527344 0.510040760040283 "1184"
"1304" NA "woman" 1937 NA NA NA NA "intermediate professions" NA 960.942932128906 0.85282164812088 "1304"
"1068" 60441 "woman" 1945 "Switzerland" "french" "Roman Catholic" "never" "intermediate professions" NA 969.700927734375 0.860594272613525 "1068"
"980" NA "woman" 1945 NA NA NA NA NA NA 4763.94482421875 4.2279257774353 "980"
"2208" 124631 "woman" 1934 "Switzerland" "french" "Roman Catholic" "every two weeks" "academic professions and senior management" NA 936.778503417969 0.831376135349274 "2208"
"194" 13331 "man" 1947 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "other self-employed" NA 824.197204589844 0.731462001800537 "194"
"806" 45651 "woman" 1950 "Switzerland" "italian" "Protestant or Reformed Church" "about once a month" "academic professions and senior management" NA 672.564453125 0.596890330314636 "806"
"2087" 117711 "woman" 1956 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "academic professions and senior management" NA 538.519287109375 0.477927327156067 "2087"
"2184" 123561 "woman" 1943 "Switzerland" "french" "Roman Catholic" "once a week" "other self-employed" NA 1035.42175292969 0.918920457363129 "2184"
"524" NA "man" 1947 NA NA NA NA NA NA 2918.80981445312 2.59039759635925 "524"
"2324" 132921 "man" 1928 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "academic professions and senior management" NA 1208.67663574219 1.07268130779266 "2324"
"247" 15841 "woman" 1937 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 906.536987304688 0.804537236690521 "247"
"249" NA "man" 1945 NA NA NA NA "other self-employed" NA 739.277282714844 0.656096875667572 "249"
"482" 27491 "woman" 1948 "Switzerland" "german" "Roman Catholic" "a few times a year" "intermediate professions" "unqualified non-manual and manual workers" 1064.08654785156 0.944360017776489 "482"
"2510" 144201 "woman" 1935 "Switzerland" "german" "Roman Catholic" "once a week" "unqualified non-manual and manual workers" NA 1348.94116210938 1.19716393947601 "2510"
"889" 50381 "woman" 1934 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 977.859924316406 0.867835223674774 "889"
"1216" 69141 "woman" 1948 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" "other self-employed" 880.645874023438 0.78155928850174 "1216"
"538" 30081 "man" 1928 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "academic professions and senior management" NA 914.340270996094 0.811462581157684 "538"
"999" 56981 "woman" 1934 "Switzerland" "french" NA NA NA NA 1465.86596679688 1.30093288421631 "999"
"2248" 127421 "man" 1950 "Switzerland" "french" NA NA NA "intermediate professions" 609.743896484375 0.541138052940369 "2248"
"348" 20831 "man" 1940 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 834.27490234375 0.740405738353729 "348"
"1286" 73221 "woman" 1945 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 974.919250488281 0.865225374698639 "1286"
"398" 23941 "woman" 1944 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "intermediate professions" NA 1034.20300292969 0.917838752269745 "398"
"1067" 60441 "man" 1943 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" "qualified manual professions" "qualified non-manual professions" 819.980895996094 0.727720081806183 "1067"
"934" 53471 "woman" 1954 "Switzerland" "french" "other Christian denomination" "only for family ceremonies" "academic professions and senior management" "other self-employed" 726.3662109375 0.644638538360596 "934"
"499" 28091 "man" 1931 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" NA 1081.14880371094 0.959502458572388 "499"
"2351" 135161 "woman" 1941 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 1301.60998535156 1.15515828132629 "2351"
"655" 36891 "woman" 1937 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" NA "other self-employed" 1106.9130859375 0.982367813587189 "655"
"1064" 60391 "man" 1955 "France and territories" "french" "no denomination or religion" "never" "qualified manual professions" NA 1511.64892578125 1.34156453609467 "1064"
"218" 14461 "man" 1941 "Switzerland" "german" NA NA "intermediate professions" NA 809.917541503906 0.718788981437683 "218"
"1265" 71811 "man" 1954 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "intermediate professions" NA 1278.05310058594 1.13425183296204 "1265"
"1161" 66541 "woman" 1955 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 556.642761230469 0.494011640548706 "1161"
"2423" 139191 "man" 1955 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 837.648071289062 0.743399441242218 "2423"
